date,calories,evaluation,duration,distance
2020-02-23 10:58:21,1200,197,202.8,18.5
2020-02-23 17:23:28,1481,125,232.0,19.4
2020-02-24 10:47:29,1700,231,288.6,29.9
2020-02-24 18:17:16,968,84,200.2,18.7
2020-02-25 14:30:38,120,8,17.6,3.5
2020-02-25 19:52:25,142,5,20.2,3.5
2020-02-26 10:40:48,1314,148,212.8,19.3
2020-02-29 10:57:52,1975,344,273.7,24.1
2020-02-29 17:50:11,1136,258,193.5,16.9
2020-03-01 11:00:20,1436,241,232.1,25.8
2020-03-01 15:04:59,160,7,24.3,3.4
2020-03-01 17:58:44,1331,141,223.8,24.9
2020-03-03 10:24:13,1254,189,209.7,18.5
2020-03-03 17:36:09,1406,188,234.9,22.9
2020-03-04 10:58:53,1242,60,183.5,21.5
2020-03-06 10:59:06,1156,255,223.6,18.0
2020-03-06 16:46:30,1898,238,303.9,28.0
2020-03-07 11:08:05,1378,125,253.9,21.3
2020-03-07 17:33:59,1052,132,187.5,15.1
2020-03-08 17:56:08,1468,206,229.2,26.8
2020-04-16 10:16:38,2332,454,417.3,42.0
