date,weight,bmi,fat
2020-02-24 21:40:00,92.6,31.67,31.6
2020-02-25 09:27:00,93.4,31.94,31.7
2020-02-25 21:45:00,93.2,31.87,29.3
2020-02-26 09:33:00,92.9,31.77,30.9
2020-02-26 16:32:00,92.2,31.53,30.5
2020-02-27 08:31:00,92.1,31.5,31.1
2020-02-29 21:51:00,91.8,31.39,31.3
2020-03-01 09:58:00,92.0,31.46,31.8
2020-03-01 15:32:00,92.1,31.5,31.7
2020-03-01 21:46:00,91.6,31.33,31.5
2020-03-02 08:09:00,92.3,31.57,31.3
2020-03-03 06:34:00,92.2,31.53,31.5
2020-03-03 14:23:00,91.3,31.22,30.5
2020-03-03 23:42:00,91.5,31.29,30.3
2020-03-04 14:15:00,90.9,31.09,30.2
2020-03-05 06:27:00,91.3,31.22,30.7
